Orbital position;Satellite;Norad;Ini;News;Channels;FTA;Longitude;Declination;Max Declination;Azimuth;Elevation;Last Updated;Download satinfo
75.0°E;ABS-2;39508;;;100;40;74.96°E;-0.03°;0.03°;N/A;N/A;23-11-2015 14:02;http://en.kingofsat.net/dl.php?pos=75E&fkhz=0
70.5°E;Eutelsat 70B;39020;;;6;2;70.56°E;-0.06°;0.06°;N/A;N/A;10-2-2013 09:21;http://en.kingofsat.net/dl.php?pos=70.5E&fkhz=0
68.5°E;Intelsat 20 (IS-20);38740;;;348;239;68.55°E;0.00°;0.02°;N/A;N/A;6-4-2017 18:44;http://en.kingofsat.net/dl.php?pos=68.5E&fkhz=0
66.0°E;Intelsat 17;37238;;;152;108;66.05°E;0.00°;0.01°;N/A;N/A;25-12-2016 23:16;http://en.kingofsat.net/dl.php?pos=66E&fkhz=0
64.2°E;Intelsat 906;27513;;;14;12;64.18°E;-0.01°;0.01°;N/A;N/A;7-3-2017 00:11;http://en.kingofsat.net/dl.php?pos=64.2E&fkhz=0
62.0°E;Intelsat 902;26900;;;63;1;62.03°E;-0.01°;0.02°;N/A;N/A;21-1-2017 12:08;http://en.kingofsat.net/dl.php?pos=62E&fkhz=0
60.4°E;Astra 2C;26853;;;0;0;60.35°E;-0.06°;0.77°;N/A;N/A;25-5-2015 12:07;http://en.kingofsat.net/dl.php?pos=60.4E&fkhz=0
59.7°E;Astra 2D;26638;;;0;0;59.66°E;-1.72°;3.99°;N/A;N/A;3-11-2015 20:52;http://en.kingofsat.net/dl.php?pos=59.7E&fkhz=0
57.0°E;NSS 12;36032;;;77;56;57°E;-0.01°;0.01°;N/A;N/A;19-12-2016 18:11;http://en.kingofsat.net/dl.php?pos=57E&fkhz=0
56.0°E;DirecTV 1R;25937;;;0;0;56.48°E;-1.46°;1.49°;N/A;N/A;31-12-2012 09:20;http://en.kingofsat.net/dl.php?pos=56E&fkhz=0
55.0°E;Yamal 402;39022;;;11;7;54.92°E;-0.01°;0.01°;N/A;N/A;17-3-2014 23:33;http://en.kingofsat.net/dl.php?pos=55E&fkhz=0
53.0°E;Express AM6;40277;;;54;54;53.01°E;0.04°;0.04°;N/A;N/A;1-12-2017 00:06;http://en.kingofsat.net/dl.php?pos=53E&fkhz=0
52.5°E;Yahsat 1A;37393;;;76;69;52.56°E;-0.01°;0.01°;N/A;N/A;7-12-2017 15:57;http://en.kingofsat.net/dl.php?pos=52.5E&fkhz=0
52.0°E;TurkmenÄlem/MonacoSat;40617;;;23;23;52.03°E;-0.01°;0.01°;N/A;N/A;17-11-2017 18:49;http://en.kingofsat.net/dl.php?pos=52E&fkhz=0
51.5°E;Belintersat 1;41238;;;112;12;51.53°E;0.00°;0.01°;N/A;N/A;4-12-2017 02:23;http://en.kingofsat.net/dl.php?pos=51.5E&fkhz=0
50.5°E;NSS 5;24957;;;0;0;50.44°E;-1.23°;4.18°;N/A;N/A;12-6-2012 08:50;http://en.kingofsat.net/dl.php?pos=50.5E&fkhz=0
49.0°E;Yamal 202;28089;;;61;52;49°E;0.01°;0.05°;N/A;N/A;13-7-2012 21:32;http://en.kingofsat.net/dl.php?pos=49E&fkhz=0
48.1°E;Eutelsat 48D;33460;;;0;0;48.1°E;-0.04°;0.05°;N/A;N/A;7-10-2013 00:06;http://en.kingofsat.net/dl.php?pos=48.1E&fkhz=0
47.5°E;Intelsat 10 (IS-10);26766;;;0;0;47.51°E;0.06°;1.88°;N/A;N/A;31-12-2014 08:39;http://en.kingofsat.net/dl.php?pos=47.5E&fkhz=0
46.0°E;Azerspace-1;39079;;;45;39;46.01°E;-0.01°;0.01°;N/A;N/A;3-12-2017 15:37;http://en.kingofsat.net/dl.php?pos=46E&fkhz=0
45.0°E;Intelsat 904;27380;;;212;59;45.1°E;-0.01°;0.01°;N/A;N/A;28-11-2017 21:38;http://en.kingofsat.net/dl.php?pos=45E&fkhz=0
